cduty,rduty,dtemp,dflow,btemp,bflow,d_Water,d_Ethanol,d_Acetone,b_Water,b_Ethanol,b_Acetone
13936.612817767325,-15494.57830522643,333.57935798872694,99.99999999989998,353.36197448637495,200.0,0.08612364552056012,0.3141970994352469,0.5996792550441931,0.08612364552056012,0.3141970994352469,0.5996792550441931
21810.751329552626,-23588.931813859825,335.5801815115327,149.99999999989998,353.86171402834213,200.0,0.10948215640188397,0.4239230608951475,0.4665947827029685,0.10948215640188397,0.4239230608951475,0.4665947827029685
29658.267713315072,-31660.119383285164,336.75138837595125,199.9999999999,354.43905604598274,200.0,0.12113049565615168,0.4789091016722481,0.3999604026716002,0.12113049565615168,0.4789091016722481,0.3999604026716002
13936.613223210881,-15493.918644348481,333.5793576277234,99.99999999989998,353.3619728310949,200.0,0.08612382350876538,0.31419693939970017,0.5996792370915345,0.08612382350876538,0.31419693939970017,0.5996792370915345
21810.751851357163,-23588.162276619936,335.5801810923375,149.9999999999,353.861712580087,199.99999999999997,0.1094823519824625,0.4239228672420105,0.466594780775527,0.1094823519824625,0.4239228672420105,0.466594780775527
29658.268395088806,-31659.239998922934,336.7513880087618,199.9999999999,354.43905390022275,200.0,0.12113069390579251,0.47890890344403736,0.3999604026501703,0.12113069390579251,0.47890890344403736,0.3999604026501703
13936.613628785943,-15493.259015800955,333.57935726675566,99.99999999990001,353.3619711757522,199.99999999999997,0.08612400149270537,0.3141967793698646,0.59967921913743,0.08612400149270537,0.3141967793698646,0.59967921913743
21810.752373004536,-23587.392776842506,335.58018067315624,149.9999999999,353.8617111318604,200.0,0.10948254755702246,0.4239226735947301,0.4665947788482474,0.10948254755702246,0.4239226735947301,0.4665947788482474
29658.269077009405,-31658.360657727113,336.75138764158726,199.9999999999,354.4390517545256,200.0,0.12113089215018254,0.4789087052217548,0.39996040262806276,0.12113089215018254,0.4789087052217548,0.39996040262806276
13937.112937299198,-14702.975437609784,333.57893995773577,99.9999999999,353.35988016012897,199.99999999999997,0.08634050217873468,0.31400356194159695,0.5996559358796684,0.08634050217873468,0.31400356194159695,0.5996559358796684
21811.385591641403,-22665.47192551585,335.57968815724234,149.9999999999,353.85996443179283,200.0,0.10972086817398045,0.42368649513517403,0.4665926366908455,0.10972086817398045,0.42368649513517403,0.4665926366908455
29659.172371476314,-30604.8771201172,336.7510248611252,199.99999999990004,354.4365918374025,199.99999999999997,0.12136392657824781,0.4786875107582589,0.3999485626634932,0.12136392657824781,0.4786875107582589,0.3999485626634932
13937.113377058846,-14702.299101626613,333.5789396144754,99.9999999999,353.3598782670772,199.99999999999997,0.08634069032347332,0.3140033953882003,0.5996559142883264,0.08634069032347332,0.3140033953882003,0.5996559142883264
21811.386141697378,-22664.68292720293,335.57968771993916,149.9999999999,353.8599628919319,199.99999999999997,0.10972107392244981,0.4236862916153062,0.4665926344622441,0.10972107392244981,0.4236862916153062,0.4665926344622441
29659.173087773703,-30603.975497795087,336.75102447590604,199.99999999989998,354.43658957802904,200.0,0.12136413517999983,0.47868730208602905,0.39994856273397117,0.12136413517999983,0.47868730208602905,0.39994856273397117
13937.113816985584,-14701.62280502825,333.5789392712667,99.9999999999,353.3598763739499,200.0,0.0863408784623354,0.3140032288429245,0.5996558926947401,0.0863408784623354,0.3140032288429245,0.5996558926947401
21811.386691564483,-22663.89397460518,335.5796872826568,149.9999999999,353.85996135210996,199.99999999999997,0.10972127966446352,0.42368608810236486,0.46659263223317166,0.10972127966446352,0.42368608810236486,0.46659263223317166
29659.173804155776,-30603.073927906302,336.7510240906962,199.9999999999,354.4365873187323,200.00000000000003,0.12136434377333181,0.47868709342152466,0.3999485628051436,0.12136434377333181,0.47868709342152466,0.3999485628051436
13963.454810357289,-4054.2719998783077,333.62460325107406,99.99999999989998,353.11292411737065,199.99999999999997,0.09075527638351864,0.31381483323030507,0.5954298903861762,0.09075527638351864,0.31381483323030507,0.5954298903861762
21822.48608410179,-10228.837565722595,335.57267267227377,149.99999999989998,353.82307184320405,200.0,0.11369840275458665,0.4198317242462296,0.4664698729991837,0.11369840275458665,0.4198317242462296,0.4664698729991837
29672.44435489597,-16392.54945523481,336.7436698098745,199.99999999990004,354.39228611062407,200.0,0.1253254065079809,0.4746894289598839,0.3999851645321352,0.1253254065079809,0.4746894289598839,0.3999851645321352
13937.683934596676,-13844.713984906306,333.57847571182594,99.9999999999,353.35729458502453,200.0,0.08658335479494511,0.3137901630091236,0.5996264821959313,0.08658335479494511,0.3137901630091236,0.5996264821959313
21812.158928028384,-21664.316049590412,335.57923797003275,149.99999999989998,353.8578947708034,199.99999999999997,0.11002131757700165,0.4233858939946596,0.4665927884283388,0.11002131757700165,0.4233858939946596,0.4665927884283388
29659.60534995947,-29460.41583901939,336.75029534359896,199.99999999989998,354.43335895166234,200.00000000000003,0.12161505548085792,0.4783868275426033,0.39999811697653875,0.12161505548085792,0.4783868275426033,0.39999811697653875
13937.684419047007,-13844.017895662964,333.57847539806073,99.9999999999,353.35729236222005,200.0,0.08658355521985034,0.31378998932767466,0.5996264554524751,0.08658355521985034,0.31378998932767466,0.5996264554524751
21812.159500530528,-21663.503984034094,335.5792375030003,149.9999999999,353.8578931220195,199.99999999999997,0.11002153162166059,0.4233856823635171,0.46659278601482224,0.11002153162166059,0.4233856823635171,0.46659278601482224
29659.60611538117,-29459.48787303057,336.7502949412113,199.9999999999,354.43335657258206,199.99999999999997,0.12161527491928094,0.47838660938745187,0.3999981156932672,0.12161527491928094,0.47838660938745187,0.3999981156932672
